# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
# Corp Site Adult Learner,,,,,,,,,,,,,,,,,,,,,,
# Copy of CET Campaign Results-Free form 1,,,,,,,,,,,,,,,,,,,,,,
# 20250101-20250430,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
Page path and screen class,First user campaign,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,
/adult-learner/course-detail/NYP-DXSP06/specialist-diploma-in-digital-content-creation-for-e-commerce,1.20218E+17,1263,1258,1260,29,1354,1307,1.035960214,14.84523482,0.742157613,1222,1263,1258,1260,29,1354,1307,1.035960214,14.84523482,0.742157613,1222,
/adult-learner/course-detail/NYP-CLSP06/specialist-diploma-in-nutrition-science,(organic),1261,971,1256,272,1691,1556,1.086760925,125.5081728,0.265424165,1248,1261,971,1256,272,1691,1556,1.086760925,125.5081728,0.265424165,1248,
/adult-learner/find-a-course,(referral),1160,133,1159,320,3174,1597,1.987476518,181.4938161,0.099561678,657,1160,133,1159,320,3174,1597,1.987476518,181.4938161,0.099561678,657,
/adult-learner/course-types/work-study-certificates,(organic),1118,440,1114,382,1613,1358,1.187776141,127.3041837,0.103092784,411,1118,440,1114,382,1613,1358,1.187776141,127.3041837,0.103092784,411,
/adult-learner/skillsfuture-credit,cet-q1-2025#cybersecurity,1108,1106,1107,49,1386,1215,1.140740741,30.30356611,0.69218107,1048,1108,1106,1107,49,1386,1215,1.140740741,30.30356611,0.69218107,1048,
/adult-learner/course-types/work-study-post-diplomas,(referral),1079,1014,1075,171,1735,1387,1.250901226,122.9170292,0.179524153,669,1079,1014,1075,171,1735,1387,1.250901226,122.9170292,0.179524153,669,
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,(organic),1047,51,1045,293,1359,1135,1.197356828,31.5536147,0.021145374,104,1047,51,1045,293,1359,1135,1.197356828,31.5536147,0.021145374,104,
/adult-learner/course-detail/NYP-BMSP13/specialist-diploma-in-human-resource-management,(organic),1030,699,1022,329,1615,1524,1.059711286,189.2026119,0.236220472,1114,1030,699,1022,329,1615,1524,1.059711286,189.2026119,0.236220472,1114,
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,(organic),978,161,977,360,1566,1348,1.161721068,177.9941472,0.132789318,842,978,161,977,360,1566,1348,1.161721068,177.9941472,0.132789318,842,
/adult-learner/skillsfuture-credit,cet-q1-2025#digital-marketing,974,972,972,38,1153,1068,1.079588015,26.87205066,0.805243446,963,974,972,972,38,1153,1068,1.079588015,26.87205066,0.805243446,963,
/adult-learner,(referral),961,488,936,237,1789,1416,1.263418079,120.3121611,0.280367232,732,961,488,936,237,1789,1416,1.263418079,120.3121611,0.280367232,732,
/adult-learner/course-types/post-diploma-programmes/information-technology,(organic),958,34,954,368,1374,1195,1.149790795,64.20639472,0.064435146,232,958,34,954,368,1374,1195,1.149790795,64.20639472,0.064435146,232,
/adult-learner/course-types/post-diploma-programmes/business-management,(organic),926,28,926,314,1280,1046,1.223709369,51.97607726,0.020076482,215,926,28,926,314,1280,1046,1.223709369,51.97607726,0.020076482,215,
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,(organic),925,238,921,325,1399,1257,1.112967383,149.7673185,0.142402546,826,925,238,921,325,1399,1257,1.112967383,149.7673185,0.142402546,826,
/adult-learner/course-detail/NYP-CL1301/right-food-with-right-medicine-for-diabetes-and-heart-patients-synchronous-elearning,(organic),912,906,912,46,1030,967,1.065149948,57.48680576,0.345398139,945,912,906,912,46,1030,967,1.065149948,57.48680576,0.345398139,945,
/adult-learner/course-detail/NYP-ITDP04/diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,(organic),868,139,864,334,1316,1191,1.10495382,190.4345765,0.158690176,723,868,139,864,334,1316,1191,1.10495382,190.4345765,0.158690176,723,
/adult-learner/course-types/post-diploma-programmes,cet-q1-2025,865,60,865,160,1177,938,1.254797441,48.05762944,0.042643923,150,865,60,865,160,1177,938,1.254797441,48.05762944,0.042643923,150,
/adult-learner/course-detail/NYP-ITSP09/specialist-diploma-in-business-and-big-data-analytics,(organic),857,461,852,304,1234,1179,1.046649703,152.7997804,0.222222222,766,857,461,852,304,1234,1179,1.046649703,152.7997804,0.222222222,766,
/adult-learner/course-types/career-transition-conversion-programmes,(direct),787,117,784,228,1020,930,1.096774194,119.9018013,0.090322581,215,787,117,784,228,1020,930,1.096774194,119.9018013,0.090322581,215,
/adult-learner/course-detail/NYP-BMDP06/diploma-in-business-practice-supply-chain-management,(organic),761,180,760,251,1123,989,1.135490394,119.8748376,0.141557128,580,761,180,760,251,1123,989,1.135490394,119.8748376,0.141557128,580,
/adult-learner/course-types/work-study-post-diplomas,(direct),759,167,750,301,1106,946,1.169133192,120.1602601,0.155391121,328,759,167,750,301,1106,946,1.169133192,120.1602601,0.155391121,328,
/adult-learner/funding/financial-matters-assistance,(direct),755,307,746,255,1060,941,1.126461211,106.3497059,0.265674814,627,755,307,746,255,1060,941,1.126461211,106.3497059,0.265674814,627,
/adult-learner/course-types/post-diploma-programmes/engineering,(organic),740,20,738,303,1069,903,1.183831672,107.1873851,0.062015504,243,740,20,738,303,1069,903,1.183831672,107.1873851,0.062015504,243,
/adult-learner/course-detail/NYP-CL0897/tcm-and-your-immune-system-boosting-your-immunity-with-ideas-from-east-and-west,(organic),726,561,724,97,928,841,1.103448276,107.3972054,0.171224732,671,726,561,724,97,928,841,1.103448276,107.3972054,0.171224732,671,
/adult-learner/course-types/post-diploma-programmes/applied-science,(organic),714,12,714,264,961,792,1.213383838,50.95737101,0.03030303,158,714,12,714,264,961,792,1.213383838,50.95737101,0.03030303,158,
/adult-learner/course-detail/NYP-EGDP06/diploma-in-engineering-electronic-and-digital-engineering,(organic),686,107,684,219,930,865,1.075144509,116.5983368,0.121387283,500,686,107,684,219,930,865,1.075144509,116.5983368,0.121387283,500,
/adult-learner/skillsfuture-credit,cet-q1-2025#engineering,683,682,682,19,785,729,1.076817558,19.83158425,0.680384088,644,683,682,682,19,785,729,1.076817558,19.83158425,0.680384088,644,
/adult-learner/course-detail/NYP-HSAF42/advanced-diploma-in-nursing-medical-surgical-adms1,(organic),676,438,671,172,936,838,1.116945107,107.7069421,0.229116945,515,676,438,671,172,936,838,1.116945107,107.7069421,0.229116945,515,
/adult-learner/course-types/career-transition-conversion-programmes,cet-q1-2025,659,124,659,166,880,768,1.145833333,86.45449014,0.08984375,202,659,124,659,166,880,768,1.145833333,86.45449014,0.08984375,202,
/adult-learner/course-types/post-diploma-programmes/business-management,(direct),653,66,652,200,787,707,1.113154173,36.47685301,0.042432815,175,653,66,652,200,787,707,1.113154173,36.47685301,0.042432815,175,
/adult-learner/course-detail/NYP-CE231001/building-artificial-intelligence-ai-applications-from-end-to-end-classroom-and-synchronous-e-learning,cet-q1-2025,646,0,646,137,775,717,1.080892608,71.36039501,0.016736402,234,646,0,646,137,775,717,1.080892608,71.36039501,0.016736402,234,
/adult-learner/find-a-course,(not set),627,11,627,214,6401,948,6.752109705,505.9169373,0.103375527,375,627,11,627,214,6401,948,6.752109705,505.9169373,0.103375527,375,
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,(direct),622,133,615,174,824,761,1.082785808,108.6577883,0.181340342,375,622,133,615,174,824,761,1.082785808,108.6577883,0.181340342,375,
/adult-learner/course-types/work-study-certificates,(direct),614,123,606,184,779,709,1.098730606,89.55878309,0.100141044,216,614,123,606,184,779,709,1.098730606,89.55878309,0.100141044,216,
/adult-learner/course-detail/NYP-BMDP07/diploma-in-business-practice-hospitality-and-tourism-management,(organic),608,54,607,252,969,847,1.14403778,108.803321,0.107438017,501,608,54,607,252,969,847,1.14403778,108.803321,0.107438017,501,
/adult-learner/course-types/post-diploma-programmes/information-technology,(direct),607,64,605,197,808,718,1.125348189,47.92695262,0.077994429,171,607,64,605,197,808,718,1.125348189,47.92695262,0.077994429,171,
/adult-learner/course-types/recommended/business,(direct),596,127,583,200,849,662,1.282477341,116.0312086,0.134441088,298,596,127,583,200,849,662,1.282477341,116.0312086,0.134441088,298,
/adult-learner/find-a-course,cet-q1-2025#personal-development,592,0,592,105,1056,674,1.566765579,172.8516157,0.013353116,289,592,0,592,105,1056,674,1.566765579,172.8516157,0.013353116,289,
/adult-learner/funding/incentives,(direct),591,59,590,169,763,667,1.143928036,49.63447438,0.062968516,325,591,59,590,169,763,667,1.143928036,49.63447438,0.062968516,325,
/adult-learner/course-types/post-diploma-programmes/engineering,(direct),586,68,585,198,734,657,1.117199391,53.76800949,0.065449011,182,586,68,585,198,734,657,1.117199391,53.76800949,0.065449011,182,
/adult-learner/course-detail/NYP-CLDP01/diploma-in-applied-science-food-technology,(organic),582,173,579,204,751,691,1.08683068,97.2749854,0.127351664,383,582,173,579,204,751,691,1.08683068,97.2749854,0.127351664,383,
/adult-learner/course-types/recommended/business,(organic),578,29,537,375,873,664,1.314759036,160.5056617,0.165662651,343,578,29,537,375,873,664,1.314759036,160.5056617,0.165662651,343,
/adult-learner/find-a-course,2025S1-sbm-acet,560,3,560,202,1694,745,2.273825503,148.8694425,0.073825503,315,560,3,560,202,1694,745,2.273825503,148.8694425,0.073825503,315,
/adult-learner/course-detail/NYP-DXSP01/specialist-diploma-in-smart-project-and-facilities-management,(organic),559,415,556,130,766,680,1.126470588,141.0302224,0.227941176,525,559,415,556,130,766,680,1.126470588,141.0302224,0.227941176,525,
/adult-learner/course-types/post-diploma-programmes/applied-science,(direct),555,86,553,156,649,599,1.083472454,39.29478279,0.053422371,161,555,86,553,156,649,599,1.083472454,39.29478279,0.053422371,161,
/adult-learner/funding/financial-matters-assistance,(organic),552,230,530,257,820,656,1.25,111.6290638,0.213414634,499,552,230,530,257,820,656,1.25,111.6290638,0.213414634,499,
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,cet-q1-2025,543,1,542,96,652,596,1.093959732,65.00066583,0.040268456,243,543,1,542,96,652,596,1.093959732,65.00066583,0.040268456,243,
/adult-learner/course-detail/NYP-HSAP11/advanced-diploma-in-nursing-management,(organic),541,336,539,140,743,671,1.107302534,121.9376387,0.174366617,377,541,336,539,140,743,671,1.107302534,121.9376387,0.174366617,377,
/adult-learner/course-types/recommended/green-economy,(direct),538,222,536,107,672,642,1.046728972,63.24146001,0.253894081,243,538,222,536,107,672,642,1.046728972,63.24146001,0.253894081,243,
/adult-learner/course-detail/NYP-HSCP07/certificate-in-bridging-studies-for-enrolled-nurse,(organic),535,419,532,167,868,772,1.124352332,201.1960944,0.310880829,680,535,419,532,167,868,772,1.124352332,201.1960944,0.310880829,680,
/adult-learner/course-detail/NYP-EGDP07/diploma-in-engineering-public-transport-operations,(organic),522,102,522,174,755,661,1.142208775,105.5594804,0.161875946,346,522,102,522,174,755,661,1.142208775,105.5594804,0.161875946,346,
/adult-learner/course-detail/NYP-BMSP16/specialist-diploma-in-fund-management-and-administration,(organic),519,294,519,186,801,753,1.06374502,163.0216785,0.22310757,522,519,294,519,186,801,753,1.06374502,163.0216785,0.22310757,522,
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,(direct),513,77,508,127,711,647,1.098918083,197.8898931,0.142194745,280,513,77,508,127,711,647,1.098918083,197.8898931,0.142194745,280,
/adult-learner/course-types/recommended/applied-science,1.20217E+17,513,513,513,2,516,516,1,2.518798331,0.984496124,514,513,513,513,2,516,516,1,2.518798331,0.984496124,514,
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,(direct),505,41,505,100,581,535,1.085981308,18.0395852,0.035514019,46,505,41,505,100,581,535,1.085981308,18.0395852,0.035514019,46,
/adult-learner/funding/incentives,(organic),501,104,496,191,642,560,1.146428571,88.73328603,0.094642857,279,501,104,496,191,642,560,1.146428571,88.73328603,0.094642857,279,
/adult-learner/course-types/post-diploma-programmes/design-media,(direct),487,66,486,127,594,544,1.091911765,46.23157332,0.051470588,155,487,66,486,127,594,544,1.091911765,46.23157332,0.051470588,155,
/adult-learner/course-detail/NYP-CB243001/sctp-certificate-in-digital-marketing-and-content-curation,cet-q1-2025,484,0,484,94,622,551,1.128856624,111.8690572,0.054446461,218,484,0,484,94,622,551,1.128856624,111.8690572,0.054446461,218,
/adult-learner/course-types/post-diploma-programmes/design-media,(organic),484,21,483,180,717,596,1.203020134,61.53830413,0.072147651,164,484,21,483,180,717,596,1.203020134,61.53830413,0.072147651,164,
/adult-learner/course-types/recommended/applied-science,1.20217E+17,480,480,480,0,481,482,0.997925311,3.771712983,0.979253112,477,480,480,480,0,481,482,0.997925311,3.771712983,0.979253112,477,
/adult-learner/course-detail/NYP-ITDP04/diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,(direct),479,86,478,110,625,579,1.079447323,74.47305415,0.18134715,253,479,86,478,110,625,579,1.079447323,74.47305415,0.18134715,253,
/adult-learner/course-detail/NYP-BMSP21/specialist-diploma-in-hr-analytics-and-digitalisation,(organic),477,194,476,195,721,683,1.055636896,170.4757689,0.175695461,441,477,194,476,195,721,683,1.055636896,170.4757689,0.175695461,441,
/adult-learner/course-detail/NYP-ITSP13/specialist-diploma-in-cybersecurity-pcm,(organic),475,167,475,200,749,717,1.044630404,139.5242279,0.211994421,442,475,167,475,200,749,717,1.044630404,139.5242279,0.211994421,442,
/adult-learner/course-detail/NYP-CLSP06/specialist-diploma-in-nutrition-science,(direct),469,139,468,92,579,539,1.074211503,99.95752875,0.165120594,257,469,139,468,92,579,539,1.074211503,99.95752875,0.165120594,257,
/adult-learner/course-detail/NYP-BMSP20/specialist-diploma-in-wholesale-and-trade-management,(direct),462,232,460,36,505,488,1.034836066,24.39249426,0.456967213,268,462,232,460,36,505,488,1.034836066,24.39249426,0.456967213,268,
/adult-learner/funding/bursary-part-time-diploma,(direct),461,123,457,122,582,548,1.062043796,80.46145251,0.239051095,295,461,123,457,122,582,548,1.062043796,80.46145251,0.239051095,295,
/adult-learner/course-detail/NYP-DXSP06/specialist-diploma-in-digital-content-creation-for-e-commerce,(organic),460,317,458,104,572,548,1.04379562,96.67465616,0.282846715,391,460,317,458,104,572,548,1.04379562,96.67465616,0.282846715,391,
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,(direct),455,64,453,120,615,558,1.102150538,95.55831274,0.120071685,269,455,64,453,120,615,558,1.102150538,95.55831274,0.120071685,269,
/adult-learner/course-types/recommended/applied-science,1.20217E+17,451,451,451,0,457,453,1.008830022,1.196461737,0.971302428,450,451,451,451,0,457,453,1.008830022,1.196461737,0.971302428,450,
/adult-learner/course-detail/NYP-BMSP13/specialist-diploma-in-human-resource-management,(direct),435,79,433,119,690,642,1.074766355,108.0693458,0.241433022,357,435,79,433,119,690,642,1.074766355,108.0693458,0.241433022,357,
/adult-learner/course-detail/NYP-BMDP06/diploma-in-business-practice-supply-chain-management,(direct),434,72,430,101,539,505,1.067326733,128.0053847,0.130693069,190,434,72,430,101,539,505,1.067326733,128.0053847,0.130693069,190,
/adult-learner/course-detail/NYP-HSAF21/advanced-diploma-in-nursing-midwifery,(organic),427,352,424,82,570,517,1.102514507,100.0815168,0.400386847,428,427,352,424,82,570,517,1.102514507,100.0815168,0.400386847,428,
/adult-learner/course-detail/NYP-CLDP01/diploma-in-applied-science-food-technology,(direct),420,85,419,89,483,457,1.056892779,50.38701458,0.098468271,175,420,85,419,89,483,457,1.056892779,50.38701458,0.098468271,175,
/adult-learner/course-types/work-study-post-diplomas,cet-q1-2025,419,45,414,96,582,487,1.195071869,103.3357556,0.088295688,165,419,45,414,96,582,487,1.195071869,103.3357556,0.088295688,165,
/adult-learner,2025S1-sbm-acet,412,5,401,152,691,483,1.430641822,97.56223818,0.074534161,202,412,5,401,152,691,483,1.430641822,97.56223818,0.074534161,202,
/adult-learner/course-detail/NYP-CB243001/sctp-certificate-in-digital-marketing-and-content-curation,(direct),412,31,411,81,527,485,1.086597938,73.54120124,0.096907216,151,412,31,411,81,527,485,1.086597938,73.54120124,0.096907216,151,
/adult-learner/course-detail/NYP-BMSP15/specialist-diploma-in-supply-chain-management,(organic),411,214,410,135,582,534,1.08988764,142.24902,0.166666667,343,411,214,410,135,582,534,1.08988764,142.24902,0.166666667,343,
/adult-learner/course-detail/NYP-BMDP07/diploma-in-business-practice-hospitality-and-tourism-management,(direct),407,65,405,90,511,461,1.10845987,74.49632929,0.106290672,175,407,65,405,90,511,461,1.10845987,74.49632929,0.106290672,175,
/adult-learner/course-detail/NYP-EGDP06/diploma-in-engineering-electronic-and-digital-engineering,(direct),403,38,398,99,536,489,1.096114519,136.4019916,0.112474438,190,403,38,398,99,536,489,1.096114519,136.4019916,0.112474438,190,
/adult-learner/course-detail/NYP-EGDP05/diploma-in-engineering-mechatronics,(organic),396,105,395,117,530,474,1.11814346,107.9184601,0.130801688,308,396,105,395,117,530,474,1.11814346,107.9184601,0.130801688,308,
/adult-learner/course-types/recommended/green-economy,cet-q1-2025,389,0,389,58,496,433,1.145496536,77.31202207,0.066974596,183,389,0,389,58,496,433,1.145496536,77.31202207,0.066974596,183,
