# ----------------------------------------
# Corp Site Adult Learner
# Copy of CET Campaign Results-Free form 1
# 20241201-20241231
# ----------------------------------------

Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Page path and screen class,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits
/adult-learner/course-detail/NYP-HSSP18/specialist-diploma-in-nursing-gerontology,167,49,167,35,213,189,1.126984126984127,108.59921697354497,0.07407407407407407,96,167,49,167,35,213,189,1.126984126984127,108.59921697354497,0.07407407407407407,96
/adult-learner/course-detail/NYP-HSSP14/specialist-diploma-in-clinical-education,156,47,150,33,175,167,1.0479041916167664,67.02777891017965,0.17964071856287425,76,156,47,150,33,175,167,1.0479041916167664,67.02777891017965,0.17964071856287425,76
/adult-learner/course-detail/NYP-EGDP05/diploma-in-engineering-mechatronics,153,38,153,43,190,169,1.1242603550295858,114.87580742603551,0.11834319526627218,87,153,38,153,43,190,169,1.1242603550295858,114.87580742603551,0.11834319526627218,87
/adult-learner/course-types/short-courses/singapore-customs-courses-businesses,147,100,146,30,244,197,1.2385786802030456,158.24885382741118,0.27918781725888325,81,147,100,146,30,244,197,1.2385786802030456,158.24885382741118,0.27918781725888325,81
/adult-learner/course-detail/NYP-CLDP01/diploma-in-applied-science-food-technology,140,28,138,46,171,161,1.062111801242236,101.672022689441,0.13664596273291926,61,140,28,138,46,171,161,1.062111801242236,101.672022689441,0.13664596273291926,61
/adult-learner/course-detail/NYP-HSAF21/advanced-diploma-in-nursing-midwifery,130,78,129,28,189,161,1.173913043478261,111.60725611801242,0.2236024844720497,126,130,78,129,28,189,161,1.173913043478261,111.60725611801242,0.2236024844720497,126
/adult-learner/course-detail/NYP-EGDP04/diploma-in-engineering-aerospace-manufacturing,128,17,124,37,170,159,1.069182389937107,90.99102544025158,0.20125786163522014,80,128,17,124,37,170,159,1.069182389937107,90.99102544025158,0.20125786163522014,80
/adult-learner/course-detail/NYP-ITLP01/work-study-certificate-leading-to-diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,127,18,126,38,176,153,1.1503267973856208,108.93561273202614,0.1437908496732026,75,127,18,126,38,176,153,1.1503267973856208,108.93561273202614,0.1437908496732026,75
/adult-learner/course-detail/NYP-CB0553/sc101-customs-procedures,116,28,116,34,153,137,1.1167883211678833,165.85392439416057,0.12408759124087591,59,116,28,116,34,153,137,1.1167883211678833,165.85392439416057,0.12408759124087591,59
/adult-learner/course-detail/NYP-CB1579/ai-for-business-communication,116,45,114,15,134,128,1.046875,109.3377694765625,0.1171875,68,116,45,114,15,134,128,1.046875,109.3377694765625,0.1171875,68
/adult-learner/course-detail/NYP-CI241004/project-management-professional-synchronous-e-learning,115,60,114,23,142,137,1.0364963503649636,89.48022421167883,0.16058394160583941,83,115,60,114,23,142,137,1.0364963503649636,89.48022421167883,0.16058394160583941,83
/adult-learner/course-detail/NYP-ITSPA2/post-diploma-certificate-in-applied-data-science-part-of-specialist-diploma-in-business-and-big-data-analytics,115,17,114,28,137,124,1.1048387096774193,61.58147708870967,0.04032258064516129,39,115,17,114,28,137,124,1.1048387096774193,61.58147708870967,0.04032258064516129,39
/adult-learner/course-detail/NYP-CE1510/demystify-generative-artificial-intelligence,114,15,114,34,127,131,0.9694656488549618,117.83291372519085,0.09923664122137404,62,114,15,114,34,127,131,0.9694656488549618,117.83291372519085,0.09923664122137404,62
/adult-learner/course-detail/NYP-ITSPA1/post-diploma-certificate-in-business-analytics-part-of-specialist-diploma-in-business-and-big-data-analytics,113,19,113,27,144,132,1.0909090909090908,93.9871019469697,0.09090909090909091,58,113,19,113,27,144,132,1.0909090909090908,93.9871019469697,0.09090909090909091,58
/adult-learner/course-detail/NYP-ITSP11/specialist-diploma-in-agile-solutioning-and-devsecops,112,15,111,38,137,131,1.0458015267175573,91.66925321374048,0.15267175572519084,48,112,15,111,38,137,131,1.0458015267175573,91.66925321374048,0.15267175572519084,48
/adult-learner/course-detail/NYP-BMSP20/specialist-diploma-in-wholesale-and-trade-management,110,15,107,38,142,150,0.9466666666666667,63.503374093333335,0.16,58,110,15,107,38,142,150,0.9466666666666667,63.503374093333335,0.16,58
/adult-learner/course-detail/NYP-DXSP01/specialist-diploma-in-smart-project-and-facilities-management,110,43,109,30,143,136,1.0514705882352942,92.4029684632353,0.22058823529411764,85,110,43,109,30,143,136,1.0514705882352942,92.4029684632353,0.22058823529411764,85
/adult-learner/course-detail/NYP-EGSP18/specialist-diploma-in-biomedical-and-pharmaceutical-engineering,109,40,109,28,128,122,1.0491803278688525,87.065577352459,0.13934426229508196,60,109,40,109,28,128,122,1.0491803278688525,87.065577352459,0.13934426229508196,60
/adult-learner/funding/bursary-part-time-diploma,107,21,106,42,141,134,1.0522388059701493,126.37372540298509,0.12686567164179105,68,107,21,106,42,141,134,1.0522388059701493,126.37372540298509,0.12686567164179105,68
/adult-learner/course-detail/NYP-CLSP07/specialist-diploma-in-clinical-research-management,105,28,105,24,137,115,1.191304347826087,128.30638588695652,0.0782608695652174,50,105,28,105,24,137,115,1.191304347826087,128.30638588695652,0.0782608695652174,50
/adult-learner/course-detail/NYP-EGEP02/work-study-post-diploma-specialist-diploma-in-converged-infocomm-infrastructure,105,12,103,30,149,130,1.146153846153846,88.79246965384617,0.16153846153846155,54,105,12,103,30,149,130,1.146153846153846,88.79246965384617,0.16153846153846155,54
/adult-learner/course-detail/NYP-CI241006/operational-technology-security-fundamentals,103,22,101,17,115,115,1,66.58207016521739,0.10434782608695652,38,103,22,101,17,115,115,1,66.58207016521739,0.10434782608695652,38
/adult-learner/course-detail/NYP-ASAP01/advanced-diploma-in-pharmaceutical-sciences,102,41,102,18,115,115,1,108.97422614782609,0.09565217391304348,54,102,41,102,18,115,115,1,108.97422614782609,0.09565217391304348,54
/adult-learner/course-detail/NYP-EGSP19/specialist-diploma-in-robotics-and-automation-systems-design,102,22,102,27,131,115,1.1391304347826088,86.5941515652174,0.08695652173913043,51,102,22,102,27,131,115,1.1391304347826088,86.5941515652174,0.08695652173913043,51
/adult-learner/course-detail/NYP-DXSP07/specialist-diploma-in-user-experience-design-and-management,99,31,98,25,124,117,1.0598290598290598,153.4526673162393,0.1111111111111111,60,99,31,98,25,124,117,1.0598290598290598,153.4526673162393,0.1111111111111111,60
/adult-learner/course-detail/NYP-BMLP02/work-study-certificate-leading-to-diploma-in-business-practice-accounting,97,20,96,25,124,116,1.0689655172413792,71.57012665517242,0.15517241379310345,47,97,20,96,25,124,116,1.0689655172413792,71.57012665517242,0.15517241379310345,47
/adult-learner/course-detail/NYP-CE231001/building-artificial-intelligence-ai-applications-from-end-to-end-classroom-and-synchronous-e-learning,96,16,96,26,113,106,1.0660377358490567,48.31370752830188,0.12264150943396226,50,96,16,96,26,113,106,1.0660377358490567,48.31370752830188,0.12264150943396226,50
/adult-learner/course-detail/NYP-EGSP13/specialist-diploma-in-cloud-computing-and-intelligent-services-management,96,24,95,35,114,107,1.0654205607476634,339.5220568037383,0.11214953271028037,47,96,24,95,35,114,107,1.0654205607476634,339.5220568037383,0.11214953271028037,47
/adult-learner/course-detail/NYP-BMSP19/specialist-diploma-in-human-capital-management,95,10,95,34,114,109,1.0458715596330275,72.94615642201835,0.07339449541284404,30,95,10,95,34,114,109,1.0458715596330275,72.94615642201835,0.07339449541284404,30
/adult-learner/course-detail/NYP-HSCP07/certificate-in-bridging-studies-for-enrolled-nurse,93,55,93,35,171,125,1.368,161.10662099200002,0.264,93,93,55,93,35,171,125,1.368,161.10662099200002,0.264,93
/adult-learner/course-detail/NYP-EGSP15/specialist-diploma-in-cloud-security-and-iot-cloud-services,92,15,92,21,102,103,0.9902912621359223,83.23128767961164,0.10679611650485436,40,92,15,92,21,102,103,0.9902912621359223,83.23128767961164,0.10679611650485436,40
/adult-learner/course-detail/NYP-EGEP04/work-study-post-diploma-specialist-diploma-in-biomedical-and-pharmaceutical-engineering,91,10,91,19,104,93,1.118279569892473,48.10611241935484,0.03225806451612903,31,91,10,91,19,104,93,1.118279569892473,48.10611241935484,0.03225806451612903,31
/adult-learner/course-detail/NYP-DXEP05/work-study-post-diploma-specialist-diploma-in-digital-media-production,90,13,90,20,110,104,1.0576923076923077,44.61649421153846,0.07692307692307693,31,90,13,90,20,110,104,1.0576923076923077,44.61649421153846,0.07692307692307693,31
